"","departamento","si","no","Total","si.porc","no.porc","winner","latitude","longitude","legend"
"1","COLOMBIA","6.377.482","6.431.376",12808858,49.8,50.2,"No",1.5696038245545,-81.54418964725,"<strong>COLOMBIA</strong><p>Yes: 6.377.482 (49.8%)</p><p>No:  6.431.376 (50.2%)</p>"
"2","AMAZONAS","    6.524","    4.994",11518,56.6,43.4,"Yes",-2.073418467265,-71.8014409467,"<strong>AMAZONAS</strong><p>Yes:     6.524 (56.6%)</p><p>No:      4.994 (43.4%)</p>"
"3","ANTIOQUIA","  648.051","1.057.518",1705569,38,62,"No",7.185972070855,-75.4309165829,"<strong>ANTIOQUIA</strong><p>Yes:   648.051 (38%)</p><p>No:  1.057.518 (62%)</p>"
"4","ARAUCA","   28.653","   30.274",58927,48.6,51.4,"No",6.659602553265,-71.0926427759,"<strong>ARAUCA</strong><p>Yes:    28.653 (48.6%)</p><p>No:     30.274 (51.4%)</p>"
"5","ATLANTICO","  258.121","  168.300",426421,60.5,39.5,"Yes",10.6830597857,-74.9941958877,"<strong>ATLANTICO</strong><p>Yes:   258.121 (60.5%)</p><p>No:    168.300 (39.5%)</p>"
"6","BOGOTA","1.423.612","1.114.933",2538545,56.1,43.9,"Yes",4.335847470985,-74.22969288765,"<strong>BOGOTA</strong><p>Yes: 1.423.612 (56.1%)</p><p>No:  1.114.933 (43.9%)</p>"
"7","BOLIVAR","  208.019","  137.307",345326,60.2,39.8,"Yes",9.0006070924,-74.97269606985,"<strong>BOLIVAR</strong><p>Yes:   208.019 (60.2%)</p><p>No:    137.307 (39.8%)</p>"
"8","BOYACA","  188.840","  188.170",377010,50.1,49.9,"Yes",5.86777816658,-73.3148400755,"<strong>BOYACA</strong><p>Yes:   188.840 (50.1%)</p><p>No:    188.170 (49.9%)</p>"
"9","CALDAS","  135.540","  180.366",315906,42.9,57.1,"No",5.34893713734,-75.2634183766,"<strong>CALDAS</strong><p>Yes:   135.540 (42.9%)</p><p>No:    180.366 (57.1%)</p>"
"10","CAQUETA","   39.197","   44.282",83479,47,53,"No",1.06427338101,-74.2788353224,"<strong>CAQUETA</strong><p>Yes:    39.197 (47%)</p><p>No:     44.282 (53%)</p>"
"11","CASANARE","   36.118","   89.054",125172,28.9,71.1,"No",5.300489396025,-71.6759039645,"<strong>CASANARE</strong><p>Yes:    36.118 (28.9%)</p><p>No:     89.054 (71.1%)</p>"
"12","CAUCA","  235.219","  113.776",348995,67.4,32.6,"Yes",2.156672226145,-76.83504646615,"<strong>CAUCA</strong><p>Yes:   235.219 (67.4%)</p><p>No:    113.776 (32.6%)</p>"
"13","CESAR","  120.595","  117.446",238041,50.7,49.3,"Yes",9.23320042275,-73.553426184,"<strong>CESAR</strong><p>Yes:   120.595 (50.7%)</p><p>No:    117.446 (49.3%)</p>"
"14","CHOCO","   75.257","   19.095",94352,79.8,20.2,"Yes",6.411601547475,-76.94449302025,"<strong>CHOCO</strong><p>Yes:    75.257 (79.8%)</p><p>No:     19.095 (20.2%)</p>"
"15","CONSULADOS","   44.801","   37.955",82756,54.1,45.9,"Yes",5.4295698819175,-81.54418964725,"<strong>CONSULADOS</strong><p>Yes:    44.801 (54.1%)</p><p>No:     37.955 (45.9%)</p>"
"16","CORDOBA","  225.223","  145.611",370834,60.7,39.3,"Yes",8.56432202609,-75.65716977465,"<strong>CORDOBA</strong><p>Yes:   225.223 (60.7%)</p><p>No:    145.611 (39.3%)</p>"
"17","CUNDINAMARCA","  336.874","  437.928",774802,43.5,56.5,"No",4.8712092562,-73.997525673,"<strong>CUNDINAMARCA</strong><p>Yes:   336.874 (43.5%)</p><p>No:    437.928 (56.5%)</p>"
"18","GUAINIA","    3.326","    2.664",5990,55.5,44.5,"Yes",2.79508720771,-68.7199956048,"<strong>GUAINIA</strong><p>Yes:     3.326 (55.5%)</p><p>No:      2.664 (44.5%)</p>"
"19","GUAVIARE","   11.132","    9.924",21056,52.9,47.1,"Yes",1.982866655075,-71.68886200625,"<strong>GUAVIARE</strong><p>Yes:    11.132 (52.9%)</p><p>No:      9.924 (47.1%)</p>"
"20","HUILA","  119.706","  185.484",305190,39.2,60.8,"No",2.650122220315,-75.5647348674,"<strong>HUILA</strong><p>Yes:   119.706 (39.2%)</p><p>No:    185.484 (60.8%)</p>"
"21","LA GUAJIRA","   65.417","   41.566",106983,61.1,38.9,"Yes",11.4028831206,-72.4206284899,"<strong>LA GUAJIRA</strong><p>Yes:    65.417 (61.1%)</p><p>No:     41.566 (38.9%)</p>"
"22","MAGDALENA","  132.063","   86.102",218165,60.5,39.5,"Yes",10.133789899145,-74.2486092159,"<strong>MAGDALENA</strong><p>Yes:   132.063 (60.5%)</p><p>No:     86.102 (39.5%)</p>"
"23","META","  109.676","  191.489",301165,36.4,63.6,"No",3.26349189723,-72.8720024944,"<strong>META</strong><p>Yes:   109.676 (36.4%)</p><p>No:    191.489 (63.6%)</p>"
"24","NARIÑO","  251.047","  136.283",387330,64.8,35.2,"Yes",1.5696038245545,-77.9710841163,"<strong>NARIÑO</strong><p>Yes:   251.047 (64.8%)</p><p>No:    136.283 (35.2%)</p>"
"25","NORTE DE SANTANDER","  159.255","  282.183",441438,36.1,63.9,"No",8.00927281639,-72.8756572326,"<strong>NORTE DE SANTANDER</strong><p>Yes:   159.255 (36.1%)</p><p>No:    282.183 (63.9%)</p>"
"26","PUTUMAYO","   44.643","   23.505",68148,65.5,34.5,"Yes",0.519660826661,-75.8557076718,"<strong>PUTUMAYO</strong><p>Yes:    44.643 (65.5%)</p><p>No:     23.505 (34.5%)</p>"
"27","QUINDIO","   73.393","  110.708",184101,39.9,60.1,"No",4.45705037567,-75.7152243209,"<strong>QUINDIO</strong><p>Yes:    73.393 (39.9%)</p><p>No:    110.708 (60.1%)</p>"
"28","RISARALDA","  136.208","  171.230",307438,44.3,55.7,"No",5.08507156275,-75.8680104976,"<strong>RISARALDA</strong><p>Yes:   136.208 (44.3%)</p><p>No:    171.230 (55.7%)</p>"
"29","SAN ANDRES","    5.275","    4.313",9588,55,45,"Yes",12.9325582311,-81.54418964725,"<strong>SAN ANDRES</strong><p>Yes:     5.275 (55%)</p><p>No:      4.313 (45%)</p>"
"30","SANTANDER","  310.555","  389.598",700153,44.4,55.6,"No",6.91127437806,-73.52810308195,"<strong>SANTANDER</strong><p>Yes:   310.555 (44.4%)</p><p>No:    389.598 (55.6%)</p>"
"31","SUCRE","  137.817","   84.887",222704,61.9,38.1,"Yes",9.18266533885,-75.11650852475,"<strong>SUCRE</strong><p>Yes:   137.817 (61.9%)</p><p>No:     84.887 (38.1%)</p>"
"32","TOLIMA","  164.061","  243.150",407211,40.3,59.7,"No",4.17012874195,-75.1695961585,"<strong>TOLIMA</strong><p>Yes:   164.061 (40.3%)</p><p>No:    243.150 (59.7%)</p>"
"33","VALLE DEL CAUCA","  633.329","  574.237",1207566,52.4,47.6,"Yes",4.04640596162,-76.595014085,"<strong>VALLE DEL CAUCA</strong><p>Yes:   633.329 (52.4%)</p><p>No:    574.237 (47.6%)</p>"
"34","VAUPES","    3.796","    1.067",4863,78.1,21.9,"Yes",0.46420139995,-70.25056529025,"<strong>VAUPES</strong><p>Yes:     3.796 (78.1%)</p><p>No:      1.067 (21.9%)</p>"
"35","VICHADA","    6.139","    5.977",12116,50.7,49.3,"Yes",5.00567601938,-69.2768747566,"<strong>VICHADA</strong><p>Yes:     6.139 (50.7%)</p><p>No:      5.977 (49.3%)</p>"
